"","cik","Score","year","distance","cik_str","sic","Revenue","Total.Assets","MV","TobinsQ_1","TobinsQ_2","TobinsQ.before","RevenueGrowth","RevenueGrowthAbs","TobinsQGrowth","AssetGrowth","MVGrowth","FirmSize","NormalizedDistance","Industry"
"97",48287,0.908710122108459,2017,0.0912898778915405,48287,"2522",2175882,1391357,1652.97,1.468,1.524,2.35,-27.92,-842818,-74.69,-71.99,-83.3,"Micro_Nano_Cap",-12.0842638829147,247
"98",48898,0.947948515415192,2017,0.0520514845848083,48898,"3670",3668800,3720600,6179.19,1.88,2.019,1.889,4.67,163600,-0.95,5.55,7.65,"Micro_Nano_Cap",-49.8723769934564,144
"99",49615,0.931169807910919,2017,0.0688301920890808,49615,"",40958,60932,108.75,1.958,1.993,1.522,11.23,4136,57.01,37.71,56.59,"Micro_Nano_Cap",-33.7138229960031,117
"100",49754,0.863197803497314,2017,0.136802196502686,49754,"5812",604819,1750240,695.47,1.243,1.245,1.227,-4.6,-29154,2.59,-23.19,-51.44,"Micro_Nano_Cap",31.7458855871934,174
"101",49826,0.894754946231842,2017,0.105245053768158,49826,"3560",14314000,16275000,48703.98,3.538,3.729,3.114,5.26,715000,27.1,10.32,18.51,"Micro_Nano_Cap",1.35511831555688,63
"102",49938,0.926447451114655,2017,0.0735525488853455,49938,"2911",29125000,41601000,26173.7,0.913,0.916,0.995,16.27,4076000,-16.4,-0.13,0.95,"Micro_Nano_Cap",-29.1660080187021,34
"103",51143,0.8883096575737,2017,0.1116903424263,51143,"3570",79139000,120494000,135000.8,1.472,1.519,1.649,-0.98,-780000,-21.36,7.35,-9.28,"Micro_Nano_Cap",7.56218431186457,131
"104",51253,0.895649492740631,2017,0.104350507259369,51253,"2860",3398719,4499149,11304.58,2.896,2.965,3.097,9.06,282369,-12.92,16.01,5.4,"Micro_Nano_Cap",0.493634910960861,117
"105",51434,0.907453775405884,2017,0.0925462245941162,51434,"2621",21743000,33903000,23164.53,1.029,1.029,0.861,3.15,664000,38.83,1.67,18.08,"Micro_Nano_Cap",-10.8743526887466,106
"106",51644,0.88652902841568,2017,0.11347097158432,51644,"7311",7882400,12459200,7991.22,0.866,0.767,0.886,0.46,35800,-4.49,1.58,-10.89,"Micro_Nano_Cap",9.27700009204191,107
"107",52795,0.891193747520447,2017,0.108806252479553,52795,"",7927400,4252200,2700.77,0.953,0.967,0.831,4,304600,29.22,3.87,31.58,"Micro_Nano_Cap",4.78469247429876,128
"108",54507,0.897982478141785,2017,0.102017521858215,54507,"",2571003,11624368,7060.66,0.945,0.987,1.058,0.35,8916,-21.25,1.2,-11.8,"Micro_Nano_Cap",-1.7531216148449,52
"109",55067,0.876195192337036,2017,0.123804807662964,55067,"2040",12923000,16105000,23734.9,1.883,1.863,2.266,-0.7,-91000,-33.64,7.79,-12.14,"Micro_Nano_Cap",19.228889904477,33
"110",55785,0.872056663036346,2017,0.127943336963654,55785,"2670",18259000,15151000,42255,3.236,3.259,3.51,0.31,57000,-15.53,3.76,-4.45,"Micro_Nano_Cap",23.2144560846019,135
"111",56047,0.890674769878387,2017,0.109325230121613,56047,"4400",2214418,5127427,3423.92,0.955,0.888,0.965,25.06,443745,-2.06,19.15,13.26,"Micro_Nano_Cap",5.28448831677062,88
"112",56868,0.921094238758087,2017,0.0789057612419128,56868,"1311",88918,246765,98.52,0.644,0.631,0.957,47.3,28554,-65.09,14.96,-28.72,"Micro_Nano_Cap",-24.0106543717419,111
"113",57528,0.902957618236542,2017,0.0970423817634583,57528,"",2226837,3618337,3574.06,1.324,1.337,1.164,5.58,117610,27.35,-5.63,9.1,"Micro_Nano_Cap",-6.54437683194412,33
"114",58492,0.90316915512085,2017,0.0968308448791504,58492,"2510",3943800,3529400,6001.79,2.174,2.138,2.255,5.17,193900,-7.15,19.23,-9.13,"Micro_Nano_Cap",-6.74809515569887,71
"115",59255,0.865448474884033,2017,0.134551525115967,59255,"2810",1879400,2787700,790.27,0.919,0.97,0.985,19.95,312600,-13.33,14.16,-4.89,"Micro_Nano_Cap",29.5784006886362,3
"116",59440,0.898597061634064,2017,0.101402938365936,59440,"2111",1346915,1328278,2801.43,2.464,2.947,2.379,6.48,81946,7.11,-5.4,-0.58,"Micro_Nano_Cap",-2.34498964421521,12
"117",59478,0.871853113174438,2017,0.128146886825562,59478,"2834",22871300,44981000,90974.69,2.343,2.422,2.497,7.77,1649200,-12.27,15.91,5.34,"Micro_Nano_Cap",23.4104825922442,104
"118",59527,0.925981879234314,2017,0.074018120765686,59527,"3540",2624431,2390610,5852.55,2.595,2.893,2.411,15.38,349817,15.19,23.54,40.9,"Micro_Nano_Cap",-28.7176440212807,25
"119",60519,0.912658274173737,2017,0.0873417258262634,60519,"2400",2733900,2446000,3868.98,1.495,1.83,1.191,22.41,500500,50.79,20.68,40.44,"Micro_Nano_Cap",-15.8864893118217,106
"120",60714,0.896654427051544,2017,0.103345572948456,60714,"2810",427504,1189182,182.36,0.63,0.676,0.518,14.13,52919,43.03,-6.39,-35.87,"Micro_Nano_Cap",-0.474156280502958,119
"121",60977,0.897550940513611,2017,0.102449059486389,60977,"",698437,559725,947.87,1.797,1.944,1.834,23.21,131585,-4.01,6.2,7.94,"Micro_Nano_Cap",-1.3375339383207,22
"122",61004,0.872901439666748,2017,0.127098560333252,61004,"3679",22402,27382,14.18,0.484,0.599,0.265,7.23,1511,164.46,66.64,29.73,"Micro_Nano_Cap",22.4009030266769,55
"123",61986,0.928718268871307,2017,0.0712817311286926,61986,"3531",1581300,1607800,1131.88,0.963,0.971,0.581,-1.97,-31800,130.84,5.93,78.85,"Micro_Nano_Cap",-31.3528946623787,63
"124",62234,0.872846603393555,2017,0.127153396606445,62234,"7830",622714,1017797,486.35,1.148,1.086,1.136,14.5,78850,2.1,11.69,11.54,"Micro_Nano_Cap",22.4537125104341,0
"125",62996,0.868328332901001,2017,0.131671667098999,62996,"3430",7644000,5440000,11991.86,2.597,2.818,2.44,3.9,287000,12.8,7.32,9.19,"Micro_Nano_Cap",26.8049843655778,71
"126",63276,0.908607840538025,2017,0.0913921594619751,63276,"3942",4881951,6161753,5339.67,1.307,1.385,2.047,-10.53,-574699,-71.94,2.95,-50.59,"Micro_Nano_Cap",-11.9857627153849,256
"127",63754,0.899126946926117,2017,0.100873053073883,63754,"2090",4834100,10385800,11747.8,1.703,1.726,3.042,9.58,422600,-87.59,124.03,6.17,"Micro_Nano_Cap",-2.85528998182573,33
"128",63908,0.899394750595093,2017,0.100605249404907,63908,"5812",22820400,33803700,130838.7,4.633,4.774,3.679,-7.32,-1801500,51.6,8.96,33.81,"Micro_Nano_Cap",-3.1131954280444,20
"129",64040,0.884584903717041,2017,0.115415096282959,64040,"7320",6063000,9425000,39261.89,4.857,4.791,4.172,7.1,402000,32.67,8.72,21.68,"Micro_Nano_Cap",11.1492684960736,194
"130",64803,0.889480233192444,2017,0.110519766807556,64803,"5912",184765000,95131000,81040.5,1.137,1.06,1.267,4.08,7239000,-20.42,0.71,-16.95,"Micro_Nano_Cap",6.43487403848628,183
"131",65770,0.906762957572937,2017,0.093237042427063,65770,"3679",10891,29697,225.25,5.179,6.351,5.765,-26.22,-3870,-20.23,47.7,210.86,"Micro_Nano_Cap",-10.2090679966312,200
"132",66004,0.937786996364594,2017,0.0622130036354065,66004,"4941",130775,661140,640.6,1.24,1.344,1.185,-1.6,-2131,9.24,6.61,18.16,"Micro_Nano_Cap",-40.0864352435671,38
"133",66740,0.936370551586151,2017,0.0636294484138489,66740,"3841",31657000,37476000,125058.4,3.783,3.834,3.397,5.14,1548000,22.61,15.37,17.81,"Micro_Nano_Cap",-38.722343317473,106
